Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
187,SelectionSortGPT,float,10000,bestCase,1,148.27
188,SelectionSortGPT,float,10000,worstCase,1,185.37
189,SelectionSortGPT,float,10000,averageCase,1,209.51
190,SelectionSortGPT,double,100,bestCase,1,0.04
191,SelectionSortGPT,double,100,worstCase,1,0.02
192,SelectionSortGPT,double,100,averageCase,1,0.02
193,SelectionSortGPT,double,1000,bestCase,1,1.43
194,SelectionSortGPT,double,1000,worstCase,1,1.40
195,SelectionSortGPT,double,1000,averageCase,1,1.45
196,SelectionSortGPT,double,10000,bestCase,1,193.02
197,SelectionSortGPT,double,10000,worstCase,1,237.80
198,SelectionSortGPT,double,10000,averageCase,1,226.52
199,SelectionSortGPT,char,100,bestCase,1,0.04
200,SelectionSortGPT,char,100,worstCase,1,0.03
201,SelectionSortGPT,char,100,averageCase,1,0.03
202,SelectionSortGPT,char,1000,bestCase,1,2.72
203,SelectionSortGPT,char,1000,worstCase,1,2.13
204,SelectionSortGPT,char,1000,averageCase,1,1.74
205,SelectionSortGPT,char,10000,bestCase,1,203.06
206,SelectionSortGPT,char,10000,worstCase,1,286.34
207,SelectionSortGPT,char,10000,averageCase,1,255.56
208,SelectionSortGPT,string,100,bestCase,1,0.03
209,SelectionSortGPT,string,100,worstCase,1,0.04
210,SelectionSortGPT,string,100,averageCase,1,0.04
211,SelectionSortGPT,string,1000,bestCase,1,3.53
212,SelectionSortGPT,string,1000,worstCase,1,2.95
213,SelectionSortGPT,string,1000,averageCase,1,2.97
214,SelectionSortGPT,string,10000,bestCase,1,388.14
215,SelectionSortGPT,string,10000,worstCase,1,406.03
216,SelectionSortGPT,string,10000,averageCase,1,432.13
