Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
66,BubbleSortWhileNeeded,long,100,averageCase,38,0.01
66,BubbleSortWhileNeeded,long,100,averageCase,39,0.02
66,BubbleSortWhileNeeded,long,100,averageCase,40,0.02
66,BubbleSortWhileNeeded,long,100,averageCase,41,0.02
66,BubbleSortWhileNeeded,long,100,averageCase,42,0.02
66,BubbleSortWhileNeeded,long,100,averageCase,43,0.01
66,BubbleSortWhileNeeded,long,100,averageCase,44,0.02
66,BubbleSortWhileNeeded,long,100,averageCase,45,0.02
66,BubbleSortWhileNeeded,long,100,averageCase,46,0.01
66,BubbleSortWhileNeeded,long,100,averageCase,47,0.01
66,BubbleSortWhileNeeded,long,100,averageCase,48,0.01
66,BubbleSortWhileNeeded,long,100,averageCase,49,0.02
66,BubbleSortWhileNeeded,long,100,averageCase,50,0.01
66,BubbleSortWhileNeeded,long,100,averageCase,51,0.01
66,BubbleSortWhileNeeded,long,100,averageCase,52,0.02
66,BubbleSortWhileNeeded,long,100,averageCase,53,0.02
66,BubbleSortWhileNeeded,long,100,averageCase,54,0.01
66,BubbleSortWhileNeeded,long,100,averageCase,55,0.02
66,BubbleSortWhileNeeded,long,100,averageCase,56,0.01
66,BubbleSortWhileNeeded,long,100,averageCase,57,0.02
66,BubbleSortWhileNeeded,long,100,averageCase,58,0.02
