Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
3,BubbleSortUntilNoChange,int,100,averageCase,36,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,37,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,38,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,39,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,40,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,41,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,42,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,43,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,44,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,45,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,46,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,47,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,48,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,49,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,50,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,51,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,52,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,53,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,54,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,55,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,56,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,57,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,58,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,59,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,60,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,61,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,62,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,63,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,64,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,65,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,66,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,67,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,68,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,69,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,70,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,71,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,72,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,73,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,74,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,75,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,76,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,77,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,78,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,79,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,80,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,81,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,82,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,83,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,84,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,85,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,86,0.02
3,BubbleSortUntilNoChange,int,100,averageCase,87,0.02
